iteration, en_lr, sr_lr, dn_lr, 20240501-162929
im_1,
50,0.001
100,0.001
150,0.001
200,0.001
250,0.001
300,0.001
350,0.00025
400,0.00025
450,0.00025
500,0.00025
550,0.00025
600,0.00025
650,0.00025
700,0.00025
750,6.25e-05
800,6.25e-05
850,6.25e-05
900,6.25e-05
950,6.25e-05
1000,6.25e-05
1050,6.25e-05
1100,6.25e-05
1150,1.5625e-05
1200,1.5625e-05
1250,1.5625e-05
1300,1.5625e-05
1350,1.5625e-05
1400,1.5625e-05
1450,1.5625e-05
1500,1.5625e-05
1550,3.90625e-06
1600,3.90625e-06
1650,3.90625e-06
1700,3.90625e-06
1750,3.90625e-06
1800,3.90625e-06
1850,3.90625e-06
1900,3.90625e-06
1950,9.765625e-07
2000,9.765625e-07
2050,9.765625e-07
2100,9.765625e-07
2150,9.765625e-07
2200,9.765625e-07
2250,9.765625e-07
2300,9.765625e-07
2350,2.44140625e-07
2400,2.44140625e-07
2450,2.44140625e-07
2500,2.44140625e-07
2550,2.44140625e-07
2600,2.44140625e-07
2650,2.44140625e-07
2700,2.44140625e-07
2750,6.103515625e-08
2800,6.103515625e-08
2850,6.103515625e-08
2900,6.103515625e-08
2950,6.103515625e-08
3000,6.103515625e-08
3050,6.103515625e-08
3100,6.103515625e-08
3150,1.52587890625e-08
3200,1.52587890625e-08
3250,1.52587890625e-08
3300,1.52587890625e-08
3350,1.52587890625e-08
3400,1.52587890625e-08
3450,1.52587890625e-08
3500,1.52587890625e-08
3550,1.52587890625e-08
3600,1.52587890625e-08
3650,1.52587890625e-08
3700,1.52587890625e-08
3750,1.52587890625e-08
3800,1.52587890625e-08
3850,1.52587890625e-08
3900,1.52587890625e-08
3950,1.52587890625e-08
4000,1.52587890625e-08
4050,1.52587890625e-08
4100,1.52587890625e-08
4150,1.52587890625e-08
4200,1.52587890625e-08
4250,1.52587890625e-08
4300,1.52587890625e-08
4350,1.52587890625e-08
4400,1.52587890625e-08
4450,1.52587890625e-08
4500,1.52587890625e-08
4550,1.52587890625e-08
4600,1.52587890625e-08
4650,1.52587890625e-08
4700,1.52587890625e-08
4750,1.52587890625e-08
4800,1.52587890625e-08
4850,1.52587890625e-08
4900,1.52587890625e-08
4950,1.52587890625e-08
5000,1.52587890625e-08
5050,1.52587890625e-08
5100,1.52587890625e-08
5150,1.52587890625e-08
5200,1.52587890625e-08
5250,1.52587890625e-08
5300,1.52587890625e-08
